tweet_text,cyberbullying_type
Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka,not_cyberbullying
@user http://t.co/UsQInYW5Gn,not_cyberbullying
Ughhhh #MKR,not_cyberbullying
@user @user PAREM DE FAZER BULLYING COMIGO =( UHAHUAH BANDO DE PRETO,not_cyberbullying
"@user @user tadinhu de mim , sofrendo bulling viu MIMI'",not_cyberbullying
Fuck. #MKR,not_cyberbullying
Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan,not_cyberbullying
"@user poise, odiei aquilo ele sofria bullying de meninas porisso matou muitas meninas, mais mesmo assim aquelas crianças nao tinham culpa",not_cyberbullying
no one ever help.me like my bully @user did /:,not_cyberbullying
"@user le hace bulling a @user por que se ""gana"" en todos lados jajajaj y dice que los washiturros NO son flaites jajaj WENA",not_cyberbullying
BULLSHIT!!!! #MKR #MKR2015,not_cyberbullying
aposto que vou sofrer bullying depois do meu próximo tweet,not_cyberbullying
Frio é bullying contra os solteiros..,not_cyberbullying
› Meninos do Tumblr são assim: › › Meninas do Tumblr são assim: › › E eu sou assim: › › Isso é bullying. http://t.co/dr0Yql4,not_cyberbullying
"serio, falsidade é bullying",not_cyberbullying
I knew Nikki reminded me of someone. #mkr http://t.co/yWjMAyphJm,not_cyberbullying
COLÉGIOS ADVENTISTAS DE SÃO PAULO DISCUTEM O BULLYING - BOM DIA SÃO PAULO http://t.co/YyfPou0,not_cyberbullying
pratico bullying para ser aceito socialmente,not_cyberbullying
"@user Claro que nao, mas ela pode falar kkkkkkk, agora tudo é bullying kkk",not_cyberbullying
@user yupperz!! Why?,not_cyberbullying
@user  oajoajoajajo creo que todos me hacen bullying porr no tomar ojaojaojaoajoajoja,not_cyberbullying
@user OBVIOUSLY,not_cyberbullying
I GUESS I NEED YOU BABYY~,not_cyberbullying
Annie &amp; Loyd,not_cyberbullying
Bullying : Quando você esta no onibus e tem um lugar vago no seu lado e as pessoas preferem ficar em pé,not_cyberbullying
@user @user perdoname :( no puedo vivir sin hacer bullying es parte de mi! jajajajaja,not_cyberbullying
"Dou um empurrão em uma pessoa, isso se chama : - › empurrão. › › SOCIEDADE: bullying! http://tumblr.com/xun3xycfun",not_cyberbullying
@user jfc.,not_cyberbullying
Pete eating... #mkr http://t.co/3wcIykPqX3,not_cyberbullying
RT @user: Omg double elimination?! #MKR,not_cyberbullying
"Old school, Degrassi&gt;&gt;&gt;&gt;&gt; #ThatsMyShit",not_cyberbullying
STOP LYING @user,not_cyberbullying
@user @user APPARENTLY NOT,not_cyberbullying
@user hahaha we will see #doubtful,not_cyberbullying
Justiça Estadual informa que bullying escolar será caso de Polícia em Cuiabá http://t.co/66xzSz8,not_cyberbullying
@user not sure.,not_cyberbullying
Did you say Ninjas???!,not_cyberbullying
#mkr those carrots look overdone,not_cyberbullying
Espero que ele fique bem! E que isso sirva de exemplo para todos ficarem em alerta em relação as práticas de bullying... o quanto é perigoso,not_cyberbullying
"Go jac n Shaz, looks great #mkr",not_cyberbullying
Nome: Cantinho do sofá | Função: Praticar bullying contra meu dedinho. http://t.co/IdB3frq,not_cyberbullying
"@user yup, i'm aware. :)",not_cyberbullying
Hello birthday week!,not_cyberbullying
"@user no, my blog post. :)",not_cyberbullying
@user https://t.co/dtjOHnRNhQ,not_cyberbullying
@user yup!,not_cyberbullying
Bullying masivo para #LosCruzadoTwitteros que andaban en Talcahuano.,not_cyberbullying
"Asiik skarang aji yg jadi bhn bully? Nyekil siapose?""@user: @user @user tuh cha, si ajie nyekilllllll ( ¬͡͡˛ ¬͡͡”)""",not_cyberbullying
"Preciso fazer um script de 10 minutos sobre bullying, Morra língua portuguesa ; Morra Professora !",not_cyberbullying
:D,not_cyberbullying
I feel like change is gonna happen soon.,not_cyberbullying
@user I LOVE YOU,not_cyberbullying
FFS,not_cyberbullying
vomit. #stopwadhwa2015 http://t.co/78tLSv56cs,not_cyberbullying
@user LMFAOOOOOOOOOOOOOOOOOOOOOOOOOO BRUH STOP!,not_cyberbullying
Hahahahaha blonde moment! #mkr,not_cyberbullying
I liked a @user video http://t.co/gtYIRAo Bullying e Rodeios - #Vlog,not_cyberbullying
"@user @user AI CREDO, olhao bullying  :/  Mano, eu sou um gênio, claro que eu vou pra Corvinal (H) HSUAHSUAHUSHAU AQUELES",not_cyberbullying
"@user Andrés, ¿porqué tanto bullying a Mario?  Él aporta con ideas y propuestas. Sugiero parar tanta mala onda.",not_cyberbullying
I can't trust a soul.,not_cyberbullying
No u. http://t.co/zOr0eWahSS,not_cyberbullying
@user ok yeah i am.,not_cyberbullying
I wish he will back............ hahahaha-_-,not_cyberbullying
@user ouch.,not_cyberbullying
@user @user @user i miss sysinstall. :(,not_cyberbullying
It's not sauerkraut lol!! #mkr,not_cyberbullying
¿Mayor acceso a la tecnología incrementa el acoso escolar o #bullying? ¿Por qué? http://t.co/Rib8BKk,not_cyberbullying
"Drama, drama, and more drama",not_cyberbullying
"@user por q me haces bulling, viste q me pone sensible el estar soltero :B",not_cyberbullying
Mad A'f,not_cyberbullying
"Akhir2 ini disekolah jadi serba salah, di bully mulu sama @user, Anthony & Budi (ʃ˘̩̩̩~˘̩̩̩ƪ)‎​",not_cyberbullying
"@user lo digo por muchas cosas que leo, es una pena en verdad. Nuestros hijos crecerán rodeados de bullying por pensar diferente",not_cyberbullying
@user @user,not_cyberbullying
Kat &amp; Andre are terrible sports #mkr #mkr2015,not_cyberbullying
"@user não toh ameaçando mas é um fato.. tah rolando bullying na sala e eu vou na direção contar, fazendo minha parte, outro fato q +",not_cyberbullying
@user Lies. http://t.co/Qax81lnvg0,not_cyberbullying
Não é bullying se eu te quebrar inteira e dizer que estava brincando de jogos mortais. http://t.co/W3lzR8z,not_cyberbullying
"Nunca faça bullying, por que quando aquela pessoa crescer, pode virar um bruxo das trevas e se aliar a Lord... http://tumblr.com/xea3xm99fy",not_cyberbullying
@user safe travels girlie,not_cyberbullying
"Le dan color con los tuiteros que almorzaron con Piñera.Tanto bullying,si hubieran sido ustedes los invitados habrían ido igual. #Esonomás.",not_cyberbullying
Na palestra da minha escola usaram o restart como exemplo de bullying -.-'kk',not_cyberbullying
@user @user @user i saw. &lt;3 metafilter. :),not_cyberbullying
Annie is coated in + 1000 sunscreen. #mkr,not_cyberbullying
@user @user @user @user Hahahaha i suppose so :p,not_cyberbullying
@user hahaha bercanda bully bully di twitter anak angkatan 6. Apa kabar kak? Gmana lancar gak nih puasanya?,not_cyberbullying
"@user maafin ya, kalau ada bully yang gak diterima. ikhlasin ya... :)",not_cyberbullying
@user lo tadi di bully ga tom?,not_cyberbullying
A melhor parte do dia é o bullying com o @user rs.,not_cyberbullying
Just now waking up.,not_cyberbullying
"@user si, jajajajajajja plan macabro jajajajajja y le hariamos bullying @user",not_cyberbullying
Leo status: still zonked out http://t.co/QuSS6Mox8W,not_cyberbullying
"“@user: Ninel Conde, víctima del bullying en Twitter, cambia su cuenta http://t.co/pFE73I7”/// aaaaaaaaaajajajajajajajahahahajahaja",not_cyberbullying
"hablando del bullying y el pasado bully de @user, @user y @user...",not_cyberbullying
Bullying ? É o caralho . Amg tiver passando porisso agnt resolvee ligeriin .,not_cyberbullying
I miss my bestfriend .,not_cyberbullying
Não é bullying se a pessoa usa o Internet Explorer,not_cyberbullying
@user k. jandelle. ang bully mo tlaga. bully ka!,not_cyberbullying
GET. FUCKING. FUCKED. #mkr,not_cyberbullying
Who wanna sub tweet . Sub tweet me,not_cyberbullying
@user bullying ?! palhaço te mancaaa,not_cyberbullying
#mkr say sassy one more time 😒,not_cyberbullying
"Als je wordt gepest, wees bly dat je in NL woont.. Amerikaans bully's zouden je verwoesten..",not_cyberbullying
Jadi aja di-bully (lagi) gara-gara 'Korea' (⌣́_⌣̀),not_cyberbullying
Pq vc dorme tarde &gt;&gt;&gt;&gt; bullying,not_cyberbullying
I'm a gangsta baby you ain't know?,not_cyberbullying
Just kidding. I'm more like beta,not_cyberbullying
Bullying nas escolas: O que os professores podem fazer para mudar esse cenário? http://bit.ly/qd7hYv,not_cyberbullying
minha animação pra o projeto do bullying = 0,not_cyberbullying
@user congrats ^.^,not_cyberbullying
@user ikaw nga bully diyan eh. CROOK!,not_cyberbullying
"@user: Una RN presidenta de distrito"" @user que se burla de una persona porque tuvo cáncer. te mereces un bullying.""",not_cyberbullying
@user i like you.,not_cyberbullying
como yo vea #BULLYING en mi colegio POBRE ALUMNOS QUEDAN EXPULSADOS y eso que trabajo en un colegio MUY GRANDE los prof nos damos cuenta,not_cyberbullying
